RAW,ITIS,AFS,GROUNDFISH,NESPP3,NESPP4
HAKESILVER,164791,SILVER HAKE,FALSE,,
ALB,172419,ALBACORE,FALSE,470,
ALBACORE,172419,ALBACORE,FALSE,470,
ALEWIFE,161706,ALEWIFE,FALSE,,
ALWF,161706,ALEWIFE,FALSE,,
AMERICANEEL,161127,AMERICAN EEL,FALSE,,
LOB,97314,AMERICAN LOBSTER,FALSE,727,
LOBSTER,97314,AMERICAN LOBSTER,FALSE,727,
American plaice,172877,AMERICAN PLAICE,TRUE,124,1240
American plaice flounder,172877,AMERICAN PLAICE,TRUE,124,1240
AMERICAN PLAICE(AMERICAN PLAICE),172877,AMERICAN PLAICE,TRUE,124,1240
American Plaice(FLDAB),172877,AMERICAN PLAICE,TRUE,124,1240
FLDAB,172877,AMERICAN PLAICE,TRUE,124,1240
FLOUNDER AMERICAN PLAICE,172877,AMERICAN PLAICE,TRUE,124,1240
FLOUNDERAM. PLAICE,172877,AMERICAN PLAICE,TRUE,124,1240
PLAICE,172877,AMERICAN PLAICE,TRUE,124,1240
SHAD,161702,AMERICAN SHAD,FALSE,,
SHAD,161702,AMERICAN SHAD,FALSE,,
ANCH,161826,ANCHOVIES,FALSE,,
ANCHOVY,161826,ANCHOVIES,FALSE,,
Atlantic cod,164712,ATLANTIC COD,TRUE,81,818
Atlantic Cod(Atlantic cod),164712,ATLANTIC COD,TRUE,81,818
Atlantic Cod(COD),164712,ATLANTIC COD,TRUE,81,818
COD,164712,ATLANTIC COD,TRUE,81,818
COD ATLANTIC,164712,ATLANTIC COD,TRUE,81,818
Atlantic halibut,172933,ATLANTIC HALIBUT,TRUE,159,1590
Atlantic Halibut(Atlantic halibut),172933,ATLANTIC HALIBUT,TRUE,159,1590
Atlantic Halibut(HAL),172933,ATLANTIC HALIBUT,TRUE,159,1590
HAL,172933,ATLANTIC HALIBUT,TRUE,159,1590
HALIBUT,172933,ATLANTIC HALIBUT,TRUE,159,1590
HALIBUT ATLANTIC,172933,ATLANTIC HALIBUT,TRUE,159,1590
HALIBUTATLANTIC,172933,ATLANTIC HALIBUT,TRUE,159,1590
HERR,161722,ATLANTIC HERRING,FALSE,168,
HERRING,161722,ATLANTIC HERRING,FALSE,168,
HERRINGATLANTIC,161722,ATLANTIC HERRING,FALSE,168,
MACKEREL,172414,ATLANTIC MACKEREL,FALSE,,
MACKERELATLANTIC,172414,ATLANTIC MACKEREL,FALSE,,
STURGEON ATLANTIC,553269,ATLANTIC STURGEON,FALSE,,4200
STURGEON_ATL,161070,ATLANTIC STURGEON,FALSE,,4200
STUR,161070,ATLANTIC STURGEON,FALSE,,4200
Atlantic wolffish,171341,ATLANTIC WOLFFISH,TRUE,512,
Atlantic Wolffish(Atlantic wolffish),171341,ATLANTIC WOLFFISH,TRUE,512,
Atlantic Wolffish(CAT),171341,ATLANTIC WOLFFISH,TRUE,512,
CAT,171341,ATLANTIC WOLFFISH,TRUE,512,
CATN,171341,ATLANTIC WOLFFISH,TRUE,512,
WOLFFISH,171341,ATLANTIC WOLFFISH,TRUE,512,5121
WOLFFISH ATLANTIC,171341,ATLANTIC WOLFFISH,TRUE,512,5121
BARNDOOR SKATE WINGS,564139,BARNDOOR SKATE,FALSE,368,
BARNDOOR SKATE,564139,BARNDOOR SKATE,FALSE,368,
BARNDOOR,160857,BARNDOOR SKATE,FALSE,368,
